player_name,release_speed,release_pos_z,release_spin_rate,release_extension,pfx_x,pfx_z,whiff
"Mize, Casey",88.3,5.98,1301.0,7.0,-169.92000000000002,46.08,0
"Mize, Casey",88.5,5.99,1417.0,7.0,-192.96000000000004,47.519999999999996,1
"Mize, Casey",87.9,5.99,1398.0,6.8,-201.59999999999997,89.28,0
"Mahle, Tyler",87.4,6.03,1895.0,6.4,-180.0,133.92000000000002,0
"Patrick, Chad",87.5,5.62,2102.0,6.2,-106.55999999999999,102.24,0
"Senga, Kodai",83.9,5.78,1089.0,6.4,-108.0,41.75999999999999,0
"Skenes, Paul",94.2,5.64,1773.0,6.8,-129.60000000000002,82.08,0
"Baz, Shane",88.5,5.55,1832.0,6.5,-197.28000000000003,86.39999999999999,1
"Senga, Kodai",85.1,5.71,1142.0,6.3,-110.88,-23.04,0
"Senga, Kodai",85.6,5.78,1155.0,6.3,-105.12,12.96,0
"Senga, Kodai",83.4,5.74,1377.0,6.4,-110.88,50.39999999999999,0
"Woods Richardson, Simeon",82.0,6.24,2412.0,6.8,-178.56,112.32,1
"Skenes, Paul",93.2,5.66,1752.0,6.7,-144.0,73.44,0
"Mahle, Tyler",80.6,5.71,1656.0,6.4,-180.0,56.16,0
"Woods Richardson, Simeon",81.5,6.25,2386.0,6.5,-152.64000000000001,122.39999999999999,1
"Skenes, Paul",92.2,5.74,1657.0,6.6,-131.04,28.800000000000004,0
"Mahle, Tyler",82.1,6.09,1608.0,6.2,-168.48,83.51999999999998,0
"Walker, Taijuan",89.2,6.29,1668.0,6.1,-167.03999999999996,51.84,0
"Freeland, Kyle",86.4,5.99,1717.0,6.6,211.68,103.68,0
"Mahle, Tyler",83.8,6.05,1712.0,6.3,-171.35999999999999,113.76,0
"Skenes, Paul",86.3,5.63,1804.0,6.7,-207.36,87.84,1
"Houck, Tanner",91.5,5.61,1844.0,6.2,-156.96000000000004,-36.0,0
"Baz, Shane",89.9,5.64,2148.0,6.4,-194.40000000000003,72.0,0
"Mahle, Tyler",82.0,6.05,1718.0,6.2,-162.71999999999997,139.68,0
"Skenes, Paul",86.8,5.64,1681.0,6.7,-204.48,60.480000000000004,1
"Abbott, Andrew",84.5,6.08,1647.0,6.3,180.0,129.60000000000002,0
"Berríos, José",87.7,5.47,1537.0,6.6,-190.07999999999998,46.08,1
"Abbott, Andrew",85.4,6.09,1730.0,6.4,154.07999999999998,149.76,0
"Walker, Taijuan",89.2,6.27,1438.0,6.1,-175.68,61.92,0
"Mahle, Tyler",83.8,6.04,1792.0,6.3,-156.96000000000004,108.0,0
"Woods Richardson, Simeon",85.9,6.03,2385.0,7.0,-172.79999999999998,105.12,0
"Mahle, Tyler",84.5,5.95,1600.0,6.3,-141.12,115.20000000000002,1
"Lugo, Seth",86.2,5.68,1603.0,5.9,-161.28000000000003,40.32000000000001,1
"Lord, Brad",85.3,5.23,1906.0,5.4,-184.32,83.51999999999998,0
"Skenes, Paul",94.9,5.64,2218.0,6.6,-171.35999999999999,99.35999999999999,0
"Springs, Jeffrey",79.2,6.26,1303.0,6.4,135.35999999999999,95.03999999999999,0
"Mahle, Tyler",83.7,5.98,1837.0,6.4,-106.55999999999999,164.16,0
"Mize, Casey",87.7,5.99,1029.0,6.8,-129.60000000000002,5.76,1
"Skenes, Paul",91.6,5.72,1770.0,6.4,-149.76,11.52,0
"Mahle, Tyler",84.7,5.91,1650.0,6.4,-161.28000000000003,83.51999999999998,1
"Senga, Kodai",82.4,5.83,1089.0,6.4,-142.56,-12.96,0
"Skenes, Paul",86.2,5.65,1991.0,6.5,-182.88,93.60000000000001,0
"Verlander, Justin",83.3,7.06,1748.0,6.2,-145.44,125.28,0
"Mahle, Tyler",82.2,5.8,1731.0,6.3,-135.35999999999999,123.84,0
"Springs, Jeffrey",78.7,6.39,1341.0,6.2,200.16,21.599999999999998,0
"Mahle, Tyler",83.7,5.75,1796.0,6.4,-156.96000000000004,92.16,0
"Berríos, José",85.1,5.57,1488.0,6.4,-182.88,30.240000000000002,0
"Rea, Colin",87.4,5.56,1303.0,7.0,-151.20000000000002,-5.76,1
"Walker, Taijuan",88.0,6.39,1518.0,6.1,-188.64000000000001,97.92,0
"Berríos, José",85.6,5.5,1380.0,6.5,-159.84,40.32000000000001,0
"Burke, Sean",85.1,6.18,1692.0,7.4,-190.07999999999998,54.720000000000006,0
"Mize, Casey",88.6,5.96,1217.0,6.9,-132.48000000000002,-8.64,0
"Mahle, Tyler",83.6,5.91,1760.0,6.5,-172.79999999999998,74.88,1
"Lord, Brad",84.7,5.26,1752.0,5.5,-164.16,27.360000000000003,0
"Lugo, Seth",86.2,5.68,1619.0,6.0,-221.76,11.52,1
"Senga, Kodai",85.7,5.84,1332.0,6.2,-152.64000000000001,25.92,1
"Skenes, Paul",92.8,5.66,1872.0,6.6,-146.88,61.92,1
"Senga, Kodai",81.4,5.86,1008.0,6.2,-90.72,-61.92,0
"Mahle, Tyler",82.9,5.56,1918.0,6.6,-185.76,95.03999999999999,0
"Berríos, José",86.4,5.55,1521.0,6.5,-195.84,25.92,1
